column,data_type,missing_percent,trust,remarks
S.No,Numeric,0.0,Reliable,Looks consistent
Age,Numeric,7.94,Needs Cleaning,Some issues detected
Salary,Numeric,7.86,Needs Cleaning,Some issues detected
Bonus,Numeric,7.82,Needs Cleaning,Some issues detected
Total_Income,Numeric,8.11,Needs Cleaning,Some issues detected
Expenses,Numeric,7.84,Needs Cleaning,Some issues detected
Gender,Categorical,7.85,Needs Cleaning,Category data
Department,Categorical,0.0,Reliable,Category data
City,Categorical,0.0,Reliable,Category data
Rating,Numeric (from text),0.0,Reliable,Looks consistent
